Day,Platform,TSM: Platform,TSM: Audience,TSM: Customer Type,TSM: Product Type,TSM: Ad Type,TSM: Ad Content,TSM: Sales Kind,TSM: Platform Objective,TSM: Buying Objective,Spend,Impressions,Link Clicks,Video Views,TSM: Total Shopify Sales,TSM: Total Units Sold
16/10/2021,Google Ads,Google Search,Responsive search ad,,"'-,Bottoms",Responsive search ad,515077757691,order,Conversion Campaign,Target ROAS,12.59,240,12,0,125,1
16/10/2021,Google Ads,Google Search,Responsive search ad,,"'-,Bottoms,Sweatshirts,T-Shirts",Responsive search ad,515135199559,order,Conversion Campaign,Maximize Conversion Value,85.17,174,44,0,1050.43,11
16/10/2021,Google Ads,Google Search,Responsive search ad,,"'-,Hats,Shirt Jackets,Sweatshirts,T-Shirts",Responsive search ad,515181510893,order,Conversion Campaign,Maximize Conversion Value,106.16,192,69,0,1316.09,19
16/10/2021,Google Ads,Google Search,Responsive search ad,,"'-,T-Shirts",Responsive search ad,521358359999,order,Conversion Campaign,Maximize Conversion Value,17.18,35,5,0,248,4
16/10/2021,Google Ads,Google Shopping,Shopping ad,,,Shopping ad,,,Conversion Campaign,Target ROAS,4.97,1367,4,0,0,0
16/10/2021,Google Ads,Google Shopping,Shopping ad,,"'-,T-Shirts",Shopping ad,497734963614,order,Conversion Campaign,Target ROAS,78.35,11147,45,0,207.84,4
16/10/2021,Google Ads,Google Shopping,Shopping ad (goal-optimized),,,Shopping ad (goal-optimized),,,Conversion Campaign,Maximize Conversion Value,10.27,2236,22,0,0,0
16/10/2021,Google Ads,Google Shopping,Shopping ad (goal-optimized),,"'-,T-Shirts",Shopping ad (goal-optimized),499217688443,order,Conversion Campaign,Maximize Conversion Value,18.99,2341,12,0,75,1
17/10/2021,Amazon,Amazon,,,,productCollection,,,Conversion Campaign,,44.19,5733,43,0,0,0
17/10/2021,Amazon,Amazon,,,,,,,Conversion Campaign,autoForSales,55.1,88419,42,0,0,0
17/10/2021,Amazon,Amazon,,,,,,,Conversion Campaign,,0,498,0,0,0,0
17/10/2021,Facebook,Facebook,,,,Carousel,,,Conversion Campaign,CONVERSIONS,32.8,400,0,0,0,0
17/10/2021,Facebook,Facebook,,,,Carousel,,,Conversion Campaign,PRODUCT_CATALOG_SALES,32.15,1145,4,0,0,0
17/10/2021,Facebook,Facebook,,,,Collection,,,Conversion Campaign,CONVERSIONS,175.89,8390,47,53,0,0
17/10/2021,Facebook,Facebook,,,,Image,,,Brand Awareness,STORE_VISITS,22.02,856,1,0,0,0
17/10/2021,Facebook,Facebook,,,,Image,,,Conversion Campaign,CONVERSIONS,61.24,316,0,0,0,0
17/10/2021,Facebook,Facebook,,,,Product Feed - Carousel,,,Conversion Campaign,PRODUCT_CATALOG_SALES,133.41,2911,15,0,0,0
17/10/2021,Facebook,Facebook,,,,Product Feed - Image,,,Conversion Campaign,CONVERSIONS,624.86,19573,106,100,0,0
17/10/2021,Facebook,Facebook,,,,Product Feed - Image,,,Conversion Campaign,LEAD_GENERATION,68.72,2620,53,0,0,0
17/10/2021,Facebook,Facebook,,,,Product Feed - Image,,,Conversion Campaign,LINK_CLICKS,24.25,2184,144,256,0,0
17/10/2021,Facebook,Facebook,,,,Product Feed - Image,,,Conversion Campaign,PRODUCT_CATALOG_SALES,16.78,491,7,0,0,0
17/10/2021,Facebook,Facebook,,,,Video,,,Conversion Campaign,LINK_CLICKS,0.26,18,0,0,0,0
17/10/2021,Facebook,Facebook,,,-,Product Feed - Image,,order,Conversion Campaign,CONVERSIONS,96.5,1603,26,190,108.59,1
17/10/2021,Facebook,Facebook,,,"'-,Bottoms",Collection,,order,Conversion Campaign,CONVERSIONS,17.03,897,11,0,93.75,1
17/10/2021,Facebook,Facebook,,,"'-,Bottoms,Hats",Product Feed - Carousel,,order,Conversion Campaign,PRODUCT_CATALOG_SALES,337.27,18069,108,0,392.34,5
17/10/2021,Facebook,Facebook,,,"'-,Bottoms,T-Shirts",Product Feed - Image,,order,Conversion Campaign,CONVERSIONS,61.4,2103,10,0,1002.4,15
17/10/2021,Facebook,Facebook,,,"'-,Shirt Jackets",Collection,,order,Conversion Campaign,CONVERSIONS,1.99,58,0,0,151.55,1
17/10/2021,Google Ads,Google Ads Display,Image ad,,,Image ad,,,Conversion Campaign,Maximize Conversions,0,929,0,0,0,0
17/10/2021,Google Ads,Google Ads Display,Responsive display ad,,,Responsive display ad,,,Conversion Campaign,Maximize Conversions,14.74,5992,44,0,0,0
17/10/2021,Google Ads,Google Discovery,,,,,,,Conversion Campaign,Target CPA,508.64,271475,1178,0,0,0
17/10/2021,Google Ads,Google Search,Expanded dynamic search ad,,,Expanded dynamic search ad,,,Conversion Campaign,Target CPA,0.02,10,1,0,0,0
17/10/2021,Google Ads,Google Search,Expanded dynamic search ad,,,Expanded dynamic search ad,,,Conversion Campaign,Target ROAS,6.97,28,5,0,0,0
17/10/2021,Google Ads,Google Search,Expanded dynamic search ad,,"'-,T-Shirts",Expanded dynamic search ad,468891285745,order,Conversion Campaign,Target CPA,11.89,58,8,0,217.6,4
17/10/2021,Google Ads,Google Search,Expanded text ad,,,Expanded text ad,,,Conversion Campaign,Maximize Conversion Value,16.7,88,13,0,0,0
17/10/2021,Google Ads,Google Search,Expanded text ad,,,Expanded text ad,,,Conversion Campaign,Target ROAS,81.3,1115,22,0,0,0
17/10/2021,Google Ads,Google Search,Expanded text ad,,-,Expanded text ad,424814608452,order,Conversion Campaign,Maximize Conversion Value,27.24,6,1,0,49.95,1
17/10/2021,Google Ads,Google Search,Expanded text ad,,"'-,Bottoms",Expanded text ad,521234863371,order,Conversion Campaign,Maximize Conversion Value,14.65,121,21,0,136.1,1
17/10/2021,Google Ads,Google Search,Expanded text ad,,"'-,Hats",Expanded text ad,520986452100,order,Conversion Campaign,Maximize Conversion Value,8.65,108,3,0,52.95,1
17/10/2021,Google Ads,Google Search,Expanded text ad,,"'-,Sweatshirts",Expanded text ad,520986452070,order,Conversion Campaign,Maximize Conversion Value,16.21,84,14,0,223,2
17/10/2021,Google Ads,Google Search,Expanded text ad,,"'-,T-Shirts",Expanded text ad,520986452094,order,Conversion Campaign,Maximize Conversion Value,106.74,134,14,0,357,7
17/10/2021,Google Ads,Google Search,Expanded text ad,,"'-,T-Shirts",Expanded text ad,521234863383,order,Conversion Campaign,Maximize Conversion Value,4.75,33,5,0,98,1
17/10/2021,Google Ads,Google Search,Expanded text ad,,"'-,T-Shirts",Expanded text ad,521285088385,order,Conversion Campaign,Target ROAS,12.62,13,1,0,77.95,1
17/10/2021,Google Ads,Google Search,Responsive search ad,,,Responsive search ad,,,Conversion Campaign,Maximize Conversion Value,66.83,214,21,0,0,0
17/10/2021,Google Ads,Google Search,Responsive search ad,,,Responsive search ad,,,Conversion Campaign,Target ROAS,56.26,1023,36,0,0,0
17/10/2021,Google Ads,Google Search,Responsive search ad,,"'-,Bottoms,Hats,Shirt Jackets,Sweatshirts,T-Shirts",Responsive search ad,515181510893,order,Conversion Campaign,Maximize Conversion Value,121.7,275,86,0,2512.89,36
17/10/2021,Google Ads,Google Search,Responsive search ad,,"'-,Bottoms,Sweatshirts,T-Shirts",Responsive search ad,515135199559,order,Conversion Campaign,Maximize Conversion Value,75.11,286,46,0,1012.68,12
17/10/2021,Google Ads,Google Search,Responsive search ad,,"'-,Hats,T-Shirts",Responsive search ad,515077750017,order,Conversion Campaign,Maximize Conversion Value,64.16,251,75,0,347.58,6
17/10/2021,Google Ads,Google Search,Responsive search ad,,"'-,T-Shirts",Responsive search ad,521358359999,order,Conversion Campaign,Maximize Conversion Value,27.06,51,3,0,264.8,5
